,X1,X2,labels,Name,Position,PPG,APG,RPG,,,,,,,,,
1,0.154378744,-1.208253262,3-D Players,Quincy Acy,F,1.7,0.8,2.5,,,labels,Name,labels,Name,labels,Name,
12,1.517992936,-1.864732114,3-D Players,AlFarouq Aminu,F,9.4,1.3,7.5,,,3-D Players,AlFarouq Aminu,Combo Guards,D.J. Augustin,Defensive Centers,Jarrett Allen,
18,1.008989986,-1.793567867,3-D Players,Carmelo Anthony,F,13.4,0.5,5.4,,,3-D Players,Carmelo Anthony,Combo Guards,J.J. Barea,Defensive Centers,Andrew Bogut,
46,0.853406776,-0.433918196,3-D Players,Dragan Bender,F,5,1.2,4,,,3-D Players,Dragan Bender,Combo Guards,Jerryd Bayless,Defensive Centers,Clint Capela,
47,0.307019412,-0.869647355,3-D Players,Davis Bertans,F,8,1.3,3.5,,,3-D Players,Davis Bertans,Combo Guards,Eric Bledsoe,Defensive Centers,Tyson Chandler,
52,1.526193623,-0.600413287,3-D Players,Nemanja Bjelica,F,9.6,1.9,5.8,,,3-D Players,Nemanja Bjelica,Combo Guards,Devin Booker,Defensive Centers,Anthony Davis,
55,0.832733921,-1.18377827,3-D Players,Jaron Blossomgame,F,4.2,0.5,3.6,,,,,,,,,
67,0.280313757,-0.766235868,3-D Players,Miles Bridges,F,7.5,1.2,4.1,,,labels,Name,labels,Name,labels,Name,
91,1.164994634,-0.524623209,3-D Players,Bruno Caboclo,F,8.3,1.5,4.6,,,Offensive Centers,Richaun Holmes,Playmaker,Alex Caruso,Shooter,Joe Harris,
97,0.41314007,-1.402693852,3-D Players,DeMarre Carroll,F,11.1,1.3,5.2,,,Offensive Centers,Al Horford,Playmaker,Ian Clark,Shooter,Josh Hart,
100,0.242542256,-0.642926527,3-D Players,Vince Carter,GF,7.4,1.1,2.6,,,Offensive Centers,Amile Jefferson,Playmaker,Jordan Clarkson,Shooter,Mario Hezonja,
104,1.194275002,-0.526644516,3-D Players,Omri Casspi,F,6.3,0.7,3.2,,,Offensive Centers,Nikola Jokic,Playmaker,Stephen Curry,Shooter,Buddy Hield,
105,1.604119141,-0.945418129,3-D Players,Willie CauleyStein,C,11.9,2.4,8.4,,,Offensive Centers,Damian Jones,Playmaker,Jacob Evans,Shooter,George Hill,
109,0.532998453,-0.75026147,3-D Players,Wilson Chandler,F,6.7,2,4.6,,,,,,,,,
110,0.288900313,-1.307159022,3-D Players,Wilson Chandler,F,4.3,0.7,3.1,,,labels,Name,labels,Name,,,
112,0.755671409,-0.422128451,3-D Players,Marquese Chriss,F,1.8,0.4,1.8,,,Stretch Big,Paul Millsap,Versatile Forwards,Luka Doncic,,,
113,1.038298297,-1.300667527,3-D Players,Marquese Chriss,F,5.7,0.6,4.2,,,Stretch Big,Nikola Mirotic,Versatile Forwards,PJ Dozier,,,
114,0.127106679,-1.893742625,3-D Players,Gary Clark,F,2.9,0.4,2.3,,,Stretch Big,Greg Monroe,Versatile Forwards,Kevin Durant,,,
120,0.682298916,-1.748395996,3-D Players,Bonzie Colson,F,4.9,0.4,3.8,,,Stretch Big,Larry Nance Jr.,Versatile Forwards,Channing Frye,,,
125,1.176398086,-1.463419841,3-D Players,Robert Covington,F,11.3,1.1,5.2,,,Stretch Big,Jahlil Okafor,Versatile Forwards,Aaron Gordon,,,
126,0.188679037,-1.845362333,3-D Players,Robert Covington,F,14.5,1.5,5.7,,,,,,,,,
128,0.612374349,-0.832375245,3-D Players,Torrey Craig,F,5.7,1,3.5,,,,,,,,,
130,-0.116874041,-1.465830426,3-D Players,Jae Crowder,F,11.9,1.7,4.8,,,,,,,,,
131,0.813376063,-0.995593298,3-D Players,Dante Cunningham,F,3,0.8,2.9,,,,,,,,,
143,0.794841597,-0.643459799,3-D Players,Luol Deng,F,7.1,0.8,3.3,,,,,,,,,
145,0.479258172,-0.619913121,3-D Players,Marcus Derrickson,F,4.2,0.1,1.2,,,,,,,,,
161,0.164249444,-0.883240958,3-D Players,Henry Ellenson,F,6,0.9,3.4,,,,,,,,,
165,0.001420597,-1.22179331,3-D Players,James Ennis III,F,7.4,0.7,2.9,,,,,,,,,
166,1.047741413,-0.699916647,3-D Players,James Ennis III,F,5.3,0.8,3.6,,,,,,,,,
179,0.33836654,-1.298065782,3-D Players,Dorian FinneySmith,F,7.5,1.2,4.8,,,,,,,,,
189,0.441746122,-0.653013149,3-D Players,Danilo Gallinari,F,19.8,2.6,6.1,,,,,,,,,
194,1.40655645,-0.49643522,3-D Players,Rudy Gay,F,13.7,2.6,6.8,,,,,,,,,
206,0.923084723,-1.137036665,3-D Players,Jerami Grant,F,13.6,1,5.2,,,,,,,,,
208,0.333071163,-1.185085104,3-D Players,Danny Green,GF,10.3,1.6,4,,,,,,,,,
213,0.350795237,-0.715175721,3-D Players,Jeff Green,F,12.3,1.8,4,,,,,,,,,
219,0.807082268,-0.600698011,3-D Players,Maurice Harkless,F,7.7,1.2,4.5,,,,,,,,,
227,0.747975067,-1.09071816,3-D Players,Tobias Harris,F,20.9,2.7,7.8,,,,,,,,,
228,0.818275192,-0.755632359,3-D Players,Tobias Harris,F,18.2,2.9,7.9,,,,,,,,,
234,0.578742747,-1.13060918,3-D Players,Juancho Hernangomez,F,5.8,0.8,3.8,,,,,,,,,
250,0.167998906,-1.104063645,3-D Players,Danuel House Jr.,FG,9.4,1,3.6,,,,,,,,,
253,0.152800479,-1.27386115,3-D Players,Chandler Hutchison,F,5.2,0.8,4.2,,,,,,,,,
256,1.141327475,-1.380513044,3-D Players,Ersan Ilyasova,F,6.8,0.8,4.5,,,,,,,,,
260,1.182845008,-1.12653337,3-D Players,Jonathan Isaac,F,9.6,1.1,5.5,,,,,,,,,
262,1.176492535,-0.478231155,3-D Players,Jaren Jackson Jr.,FC,13.8,1.1,4.7,,,,,,,,,
272,1.20788449,-0.550632794,3-D Players,Jonas Jerebko,F,6.3,1.3,3.9,,,,,,,,,
273,-0.066942404,-3.008428975,3-D Players,Alize Johnson,F,0.9,0.1,1.4,,,,,,,,,
275,-0.195996009,-2.064911948,3-D Players,BJ Johnson,F,3.5,0,1.3,,,,,,,,,
284,0.856503486,-0.808372217,3-D Players,Derrick Jones Jr.,FG,7,0.6,4,,,,,,,,,
296,0.869245811,-0.521583476,3-D Players,Michael KiddGilchrist,F,6.7,1,3.8,,,,,,,,,
306,0.148028166,-1.176907006,3-D Players,Rodions Kurucs,F,8.5,0.8,3.9,,,,,,,,,
308,0.271870754,-0.54097088,3-D Players,Skal Labissiere,F,2.8,0.5,1.8,,,,,,,,,
309,1.724268299,-1.557961623,3-D Players,Skal Labissiere,F,3.4,0.6,2.1,,,,,,,,,
312,0.359474085,-0.69352074,3-D Players,Jake Layman,F,7.6,0.7,3.1,,,,,,,,,
340,0.822420904,-0.647049343,3-D Players,Thon Maker,F,4.7,0.5,2.7,,,,,,,,,
341,0.948654381,-0.518806624,3-D Players,Thon Maker,F,5.5,0.9,3.7,,,,,,,,,
344,1.53124867,-1.951596798,3-D Players,Lauri Markkanen,F,18.7,1.4,9.1,,,,,,,,,
345,0.489436332,-0.693139093,3-D Players,Jarell Martin,F,2.7,0.4,1.7,,,,,,,,,
355,1.241209593,-1.103592594,3-D Players,Alfonzo McKinnie,F,4.7,0.4,3.4,,,,,,,,,
371,1.018141908,-0.948221361,3-D Players,Nikola Mirotic,F,11.6,1.4,5.4,,,,,,,,,
377,0.743490217,-1.586555497,3-D Players,Marcus Morris,F,13.9,1.5,6.1,,,,,,,,,
378,0.612640847,-0.867324492,3-D Players,Markieff Morris,F,11.5,1.8,5.1,,,,,,,,,
379,0.187833797,-1.398278586,3-D Players,Markieff Morris,F,6.5,0.8,3.8,,,,,,,,,
385,0.72778731,-0.877483936,3-D Players,Mike Muscala,FC,7.4,1.3,4.3,,,,,,,,,
386,0.601674172,-0.492331694,3-D Players,Mike Muscala,FC,5.9,0.8,2.6,,,,,,,,,
396,0.535041678,-1.154749981,3-D Players,Dirk Nowitzki,F,7.3,0.7,3.1,,,,,,,,,
406,0.822782861,-0.620219594,3-D Players,Kelly Olynyk,F,10,1.8,4.7,,,,,,,,,
407,0.139885515,-0.769263538,3-D Players,Royce O'Neale,F,5.2,1.5,3.5,,,,,,,,,
410,0.144756644,-1.532165003,3-D Players,Kelly Oubre Jr.,F,12.9,0.7,4.4,,,,,,,,,
411,0.077154142,-0.958679089,3-D Players,Kelly Oubre Jr.,F,16.9,1.6,4.9,,,,,,,,,
413,0.580616916,-0.533380762,3-D Players,Jabari Parker,F,14.3,2.2,6.2,,,,,,,,,
417,-0.128292201,-1.08528246,3-D Players,Patrick Patterson,F,3.6,0.5,2.3,,,,,,,,,
427,-0.044285019,-1.36403499,3-D Players,Otto Porter Jr.,F,12.6,2,5.7,,,,,,,,,
428,-0.149790535,-0.968626715,3-D Players,Otto Porter Jr.,F,17.5,2.7,5.5,,,,,,,,,
429,1.475383696,-1.374745233,3-D Players,Bobby Portis,F,14.1,1.3,7.2,,,,,,,,,
430,1.717744956,-1.923498947,3-D Players,Bobby Portis,F,14.3,1.5,8.6,,,,,,,,,
433,1.430510922,-0.44892113,3-D Players,Alex Poythress,F,5.1,0.8,3.6,,,,,,,,,
